date,region,product,revenue,units
2026-01-03,North,Alpha,"$1,240.50",24
2026-01-03,north,alpha,$1240.50,24
2026-01-04,South,Beta,"$870.00",18
2026-01-04,South,Beta,,18
01/05/2026,East,Gamma,"$2,150.75",41
2026-01-05,East,Gamma,$2150.75,41
2026-01-06,West,Alpha,"$1,180",22
2026-01-06,West,Alpha,$1180.25,22
2026-01-07,North,Beta,"$905.50",19
2026-01-07,North,Beta,$905.50,19
2026-01-08,South,Gamma,"$2,280.00",43
2026-01-09,East,alpha,"$1,320.00",27
2026-01-09,east,Alpha,$1320,27
2026-01-10,West,Beta,"$945.75",
2026-01-10,West,Beta,$945.75,20
01-11-2026,North,Gamma,"$2,010.25",38
2026-01-11,North,Gamma,$2010.25,38
2026-01-12,South,Alpha,"$1,410.50",29
2026-01-12,SOUTH,alpha,$1410.50,29
2026-01-13,East,Beta,"$980.00",21
2026-01-13,East,Beta,,21
2026-01-14,West,Gamma,"$2,350.25",45
2026-01-14,west,gamma,$2350.25,45
2026-01-15,North,Alpha,"$1,505.75",31
2026-01-15,North,Alpha,$1505.75,31
2026-01-16,South,Beta,"$1,020.00",22
2026-01-17,East,Gamma,"$2,470.50",47
2026-01-17,east,GAMMA,$2470.50,47
2026-01-18,West,Alpha,"$1,390.00",28
2026-01-18,West,alpha,$1390,28
2026-01-19,North,Beta,"$995.25",21
2026-01-19,North,Beta,$995.25,21
2026-01-20,South,Gamma,"$2,380.00",46
2026-01-21,East,Alpha,"$1,450.50",30
2026-01-21,east,Alpha,$1450.50,30
2026-01-22,West,Beta,"$1,010.00",22
2026-01-22,WEST,beta,$1010,22
2026-01-23,North,Gamma,"$2,520.75",48
2026-01-23,North,Gamma,$2520.75,48
2026-01-24,South,Alpha,"$1,500.00",
2026-01-24,South,alpha,$1500,30
2026-01-25,East,Beta,"$1,050.50",23
2026-01-25,EAST,beta,$1050.50,23
2026-01-26,West,Gamma,"$2,610.25",50
2026-01-26,West,gamma,$2610.25,50
2026-01-27,North,Alpha,"$1,540.50",32
2026-01-27,North,Alpha,$1540.50,32
2026-01-28,South,Beta,"$1,080.00",24
2026-01-29,East,Gamma,"$2,690.00",51
2026-01-30,West,Alpha,$15000.00,1
2026-01-31,North,Beta,"$1,100.25",25
